#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR2780--MA0002.2.RUNX1	chr13	93785433	93785443	+	0.000	0.000	Merged-chr13-93785385-35
NR5114--MA0684.1.RUNX3	chr19	57055914	57055923	+	0.000	0.000	Merged-chr19-57055875-36
NR10248--MA0511.2.RUNX2	chrX	168673463	168673471	+	0.000	0.000	Merged-chrX-168673546-118
NR864--MA0684.1.RUNX3	chr10	6956461	6956470	+	0.000	0.000	Merged-chr10-6956561-24
NR71--MA0511.2.RUNX2	chr1	36025101	36025109	-	0.000	0.000	Merged-chr1-36025179-31
NR6811--MA0684.1.RUNX3	chr4	70307384	70307393	+	0.000	0.000	Merged-chr4-70307334-49
NR2802--MA0511.2.RUNX2	chr13	98803826	98803834	+	0.000	0.000	Merged-chr13-98803850-12
NR7539--MA0511.2.RUNX2	chr5	103975959	103975967	-	0.000	0.000	Merged-chr5-103975926-24
NR9597--MA0684.1.RUNX3	chr9	42249428	42249437	+	0.000	0.000	Merged-chr9-42249420-32
NR4112--MA0002.2.RUNX1	chr17	6008217	6008227	+	0.000	0.000	Merged-chr17-6008372-53
NR7169--MA0002.2.RUNX1	chr4	149697983	149697993	-	0.000	0.000	Merged-chr4-149697962-1
NR8595--MA0002.2.RUNX1	chr7	43438734	43438744	+	0.000	0.000	Merged-chr7-43438752-42
NR8200--MA0002.2.RUNX1	chr6	108630932	108630942	+	0.000	0.000	Merged-chr6-108631007-44
NR368--MA0002.2.RUNX1	chr1	98130231	98130241	+	0.000	0.000	Merged-chr1-98130284-39
NR6520--MA0002.2.RUNX1	chr3	146758174	146758184	+	0.000	0.000	Merged-chr3-146758289-47
NR8280--MA0511.2.RUNX2	chr6	121226241	121226249	+	0.000	0.000	Merged-chr6-121226378-36
NR6315--MA0002.2.RUNX1	chr3	115692546	115692556	-	0.000	0.000	Merged-chr3-115692552-34
NR2561--MA0684.1.RUNX3	chr13	40922681	40922690	-	0.000	0.000	Merged-chr13-40922608-25
NR4906--MA0002.2.RUNX1	chr19	6858233	6858243	-	0.000	0.000	Merged-chr19-6858226-46
NR5889--MA0684.1.RUNX3	chr2	181411075	181411084	-	0.000	0.000	Merged-chr2-181411095-55
NR4986--MA0511.2.RUNX2	chr19	32112560	32112568	+	0.000	0.000	Merged-chr19-32112588-4
NR6715--MA0684.1.RUNX3	chr4	43562673	43562682	-	0.000	0.000	Merged-chr4-43562415-82
NR1195--MA0511.2.RUNX2	chr10	83719015	83719023	-	0.000	0.000	Merged-chr10-83719047-59
NR1466--MA0511.2.RUNX2	chr10	130439228	130439236	-	0.000	0.000	Merged-chr10-130439179-24
NR10214--MA0511.2.RUNX2	chrX	136986281	136986289	-	0.000	0.000	Merged-chrX-136986316-28
NR625--MA0684.1.RUNX3	chr1	162740461	162740470	+	0.000	0.000	Merged-chr1-162740242-97
NR682--MA0002.2.RUNX1	chr1	171222657	171222667	+	0.000	0.000	Merged-chr1-171222616-56
NR5349--MA0511.2.RUNX2	chr2	58282830	58282838	+	0.000	0.000	Merged-chr2-58282647-50
NR1989--MA0511.2.RUNX2	chr12	25240277	25240285	+	0.000	0.000	Merged-chr12-25240283-42
NR9437--MA0511.2.RUNX2	chr8	120889336	120889344	-	0.000	0.000	Merged-chr8-120889347-18
NR84--MA0511.2.RUNX2	chr1	36767022	36767030	+	0.000	0.000	Merged-chr1-36767102-92
NR10039--MA0684.1.RUNX3	chr9	123928250	123928259	+	0.000	0.000	Merged-chr9-123928219-7
NR8356--MA0002.2.RUNX1	chr6	129608688	129608698	+	0.000	0.000	Merged-chr6-129608600-43
NR10096--MA0002.2.RUNX1	chrX	48429663	48429673	+	0.000	0.000	Merged-chrX-48429732-34
NR7059--MA0684.1.RUNX3	chr4	134511127	134511136	-	0.000	0.000	Merged-chr4-134511089-32
NR2130--MA0511.2.RUNX2	chr12	79381722	79381730	+	0.000	0.000	Merged-chr12-79381630-18
NR2401--MA0511.2.RUNX2	chr12	118411072	118411080	-	0.000	0.000	Merged-chr12-118411153-21
NR4730--MA0684.1.RUNX3	chr18	65312498	65312507	+	0.000	0.000	Merged-chr18-65312505-49
NR9738--MA0684.1.RUNX3	chr9	70012576	70012585	-	0.000	0.000	Merged-chr9-70012774-59
NR238--MA0002.2.RUNX1	chr1	73826561	73826571	-	0.000	0.000	Merged-chr1-73826476-37
NR9324--MA0684.1.RUNX3	chr8	86856476	86856485	+	0.000	0.000	Merged-chr8-86856376-59
NR2702--MA0684.1.RUNX3	chr13	76139035	76139044	-	0.000	0.000	Merged-chr13-76139009-23
NR5759--MA0684.1.RUNX3	chr2	156882517	156882526	-	0.000	0.000	Merged-chr2-156882642-42
NR8322--MA0002.2.RUNX1	chr6	126811745	126811755	+	0.000	0.000	Merged-chr6-126811749-38
NR8988--MA0002.2.RUNX1	chr7	128180662	128180672	+	0.000	0.000	Merged-chr7-128180557-37
NR1700--MA0002.2.RUNX1	chr11	76479869	76479879	+	0.000	0.000	Merged-chr11-76479734-64
NR2954--MA0684.1.RUNX3	chr14	12243954	12243963	-	0.000	0.000	Merged-chr14-12243878-61
NR4171--MA0511.2.RUNX2	chr17	18458391	18458399	+	0.000	0.000	Merged-chr17-18458447-27
NR9655--MA0511.2.RUNX2	chr9	53786873	53786881	+	0.000	0.000	Merged-chr9-53786922-72
NR4713--MA0511.2.RUNX2	chr18	62186217	62186225	+	0.000	0.000	Merged-chr18-62186304-32
NR8574--MA0002.2.RUNX1	chr7	31161057	31161067	+	0.000	0.000	Merged-chr7-31161172-57
NR4886--MA0684.1.RUNX3	chr18	89214999	89215008	-	0.000	0.000	Merged-chr18-89214991-26
NR2606--MA0684.1.RUNX3	chr13	52793743	52793752	+	0.000	0.000	Merged-chr13-52793738-50
NR6645--MA0511.2.RUNX2	chr4	20033080	20033088	+	0.000	0.000	Merged-chr4-20033263-40
NR8974--MA0684.1.RUNX3	chr7	125635628	125635637	-	0.000	0.000	Merged-chr7-125635870-68
NR1095--MA0684.1.RUNX3	chr10	67727768	67727777	+	0.000	0.000	Merged-chr10-67727735-22
NR8431--MA0002.2.RUNX1	chr6	140508635	140508645	+	0.000	0.000	Merged-chr6-140508405-40
NR7627--MA0511.2.RUNX2	chr5	114826496	114826504	+	0.000	0.000	Merged-chr5-114826460-42
NR5183--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR6132--MA0002.2.RUNX1	chr3	84679038	84679048	-	0.000	0.000	Merged-chr3-84679070-45
NR6798--MA0002.2.RUNX1	chr4	63399419	63399429	-	0.000	0.000	Merged-chr4-63399469-54
NR856--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR9416--MA0511.2.RUNX2	chr8	117074472	117074480	-	0.000	0.000	Merged-chr8-117074609-38
NR8811--MA0002.2.RUNX1	chr7	99429113	99429123	+	0.000	0.000	Merged-chr7-99429027-29
NR4975--MA0002.2.RUNX1	chr19	24971529	24971539	+	0.000	0.000	Merged-chr19-24971475-35
NR1078--MA0511.2.RUNX2	chr10	60389728	60389736	-	0.000	0.000	Merged-chr10-60389736-64
NR6611--MA0511.2.RUNX2	chr4	6472963	6472971	+	0.000	0.000	Merged-chr4-6472958-17
NR442--MA0684.1.RUNX3	chr1	128358878	128358887	-	0.000	0.000	Merged-chr1-128359360-82
NR7051--MA0511.2.RUNX2	chr4	134043265	134043273	+	0.000	0.000	Merged-chr4-134043155-17
NR8792--MA0002.2.RUNX1	chr7	96946694	96946704	-	0.000	0.000	Merged-chr7-96946684-14
NR836--MA0002.2.RUNX1	chr1	192779066	192779076	+	0.000	0.000	Merged-chr1-192778895-23
NR6241--MA0002.2.RUNX1	chr3	102724374	102724384	-	0.000	0.000	Merged-chr3-102724263-19
NR7495--MA0684.1.RUNX3	chr5	96171825	96171834	-	0.000	0.000	Merged-chr5-96171884-25
NR7018--MA0002.2.RUNX1	chr4	126677526	126677536	-	0.000	0.000	Merged-chr4-126677717-65
NR965--MA0684.1.RUNX3	chr10	26799660	26799669	+	0.000	0.000	Merged-chr10-26799592-100
NR5067--MA0002.2.RUNX1	chr19	46503784	46503794	+	0.000	0.000	Merged-chr19-46503921-48
NR2361--MA0511.2.RUNX2	chr12	115165658	115165666	+	0.000	0.000	Merged-chr12-115165730-55
NR8795--MA0511.2.RUNX2	chr7	97748279	97748287	+	0.000	0.000	Merged-chr7-97748330-11
NR822--MA0684.1.RUNX3	chr1	191480307	191480316	-	0.000	0.000	Merged-chr1-191480137-17
NR1088--MA0002.2.RUNX1	chr10	67049461	67049471	+	0.000	0.000	Merged-chr10-67049355-33
NR6621--MA0002.2.RUNX1	chr4	8907046	8907056	-	0.000	0.000	Merged-chr4-8906961-41
NR6416--MA0002.2.RUNX1	chr3	135402594	135402604	-	0.000	0.000	Merged-chr3-135402581-53
NR4194--MA0002.2.RUNX1	chr17	25248490	25248500	-	0.000	0.000	Merged-chr17-25248347-49
NR4736--MA0002.2.RUNX1	chr18	65691625	65691635	-	0.000	0.000	Merged-chr18-65691617-34
NR8701--MA0684.1.RUNX3	chr7	72350238	72350247	+	0.000	0.000	Merged-chr7-72350151-23
NR4051--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR4322--MA0002.2.RUNX1	chr17	51814545	51814555	-	0.000	0.000	Merged-chr17-51814512-17
NR7527--MA0684.1.RUNX3	chr5	100916620	100916629	+	0.000	0.000	Merged-chr5-100916697-39
NR3247--MA0511.2.RUNX2	chr14	101879179	101879187	+	0.000	0.000	Merged-chr14-101879110-69
NR948--MA0511.2.RUNX2	chr10	22732437	22732445	-	0.000	0.000	Merged-chr10-22732322-3
NR1074--MA0684.1.RUNX3	chr10	60370955	60370964	-	0.000	0.000	Merged-chr10-60370964-39
NR7064--MA0511.2.RUNX2	chr4	134642024	134642032	+	0.000	0.000	Merged-chr4-134642170-32
NR6402--MA0684.1.RUNX3	chr3	133328718	133328727	-	0.000	0.000	Merged-chr3-133328719-18
NR6254--MA0002.2.RUNX1	chr3	104466686	104466696	+	0.000	0.000	Merged-chr3-104466607-13
NR263--MA0511.2.RUNX2	chr1	80381457	80381465	-	0.000	0.000	Merged-chr1-80381464-49
NR8391--MA0002.2.RUNX1	chr6	134829973	134829983	-	0.000	0.000	Merged-chr6-134830106-68
NR564--MA0684.1.RUNX3	chr1	153238153	153238162	-	0.000	0.000	Merged-chr1-153238219-13
NR6511--MA0684.1.RUNX3	chr3	145942219	145942228	-	0.000	0.000	Merged-chr3-145942154-31
NR687--MA0002.2.RUNX1	chr1	171849770	171849780	+	0.000	0.000	Merged-chr1-171849632-17
NR1249--MA0684.1.RUNX3	chr10	91167021	91167030	+	0.000	0.000	Merged-chr10-91167120-36
NR4954--MA0002.2.RUNX1	chr19	20390559	20390569	+	0.000	0.000	Merged-chr19-20390603-26
NR421--MA0684.1.RUNX3	chr1	125441363	125441372	-	0.000	0.000	Merged-chr1-125441635-68
NR8566--MA0002.2.RUNX1	chr7	27933615	27933625	-	0.000	0.000	Merged-chr7-27933719-74
NR89--MA0511.2.RUNX2	chr1	37030883	37030891	+	0.000	0.000	Merged-chr1-37030914-29
NR9425--MA0684.1.RUNX3	chr8	119605005	119605014	+	0.000	0.000	Merged-chr8-119605101-59
NR500--MA0511.2.RUNX2	chr1	138136593	138136601	-	0.000	0.000	Merged-chr1-138136631-55
NR5589--MA0684.1.RUNX3	chr2	117447070	117447079	-	0.000	0.000	Merged-chr2-117447085-57
NR8695--MA0684.1.RUNX3	chr7	68350155	68350164	-	0.000	0.000	Merged-chr7-68350249-38
NR468--MA0684.1.RUNX3	chr1	131200183	131200192	-	0.000	0.000	Merged-chr1-131199978-81
NR9028--MA0511.2.RUNX2	chr7	136255794	136255802	-	0.000	0.000	Merged-chr7-136255803-24
NR130--MA0002.2.RUNX1	chr1	43897360	43897370	-	0.000	0.000	Merged-chr1-43897288-49
NR1358--MA0684.1.RUNX3	chr10	117419100	117419109	-	0.000	0.000	Merged-chr10-117418980-24
NR7619--MA0511.2.RUNX2	chr5	113931086	113931094	+	0.000	0.000	Merged-chr5-113931158-18
NR10229--MA0002.2.RUNX1	chrX	151344070	151344080	+	0.000	0.000	Merged-chrX-151344027-1
NR6267--MA0002.2.RUNX1	chr3	105900027	105900037	-	0.000	0.000	Merged-chr3-105899940-9
NR2241--MA0002.2.RUNX1	chr12	98453479	98453489	-	0.000	0.000	Merged-chr12-98453618-41
NR530--MA0684.1.RUNX3	chr1	144283483	144283492	+	0.000	0.000	Merged-chr1-144283563-68
NR177--MA0002.2.RUNX1	chr1	60343583	60343593	+	0.000	0.000	Merged-chr1-60343430-63
NR7378--MA0684.1.RUNX3	chr5	53509645	53509654	+	0.000	0.000	Merged-chr5-53509705-20
NR10166--MA0511.2.RUNX2	chrX	85839395	85839403	+	0.000	0.000	Merged-chrX-85839388-40
NR6524--MA0684.1.RUNX3	chr3	146758209	146758218	+	0.000	0.000	Merged-chr3-146758289-47
NR305--MA0002.2.RUNX1	chr1	87187128	87187138	+	0.000	0.000	Merged-chr1-87187094-21
NR8327--MA0002.2.RUNX1	chr6	127302987	127302997	-	0.000	0.000	Merged-chr6-127302896-25
NR7087--MA0002.2.RUNX1	chr4	137854093	137854103	-	0.000	0.000	Merged-chr4-137854061-36
NR2972--MA0511.2.RUNX2	chr14	20025508	20025516	+	0.000	0.000	Merged-chr14-20025381-48
NR557--MA0002.2.RUNX1	chr1	152369329	152369339	-	0.000	0.000	Merged-chr1-152369531-31
NR3842--MA0002.2.RUNX1	chr16	35952649	35952659	-	0.000	0.000	Merged-chr16-35952666-4
NR2767--MA0511.2.RUNX2	chr13	92859009	92859017	-	0.000	0.000	Merged-chr13-92859070-18
NR9438--MA0684.1.RUNX3	chr8	120889335	120889344	-	0.000	0.000	Merged-chr8-120889347-18
NR5158--MA0511.2.RUNX2	chr2	3756052	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR6584--MA0511.2.RUNX2	chr3	157572189	157572197	-	0.000	0.000	Merged-chr3-157572162-49
NR4205--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR2525--MA0002.2.RUNX1	chr13	32833463	32833473	+	0.000	0.000	Merged-chr13-32833384-31
NR9498--MA0511.2.RUNX2	chr8	127968207	127968215	-	0.000	0.000	Merged-chr8-127968270-33
NR4391--MA0002.2.RUNX1	chr17	71216501	71216511	+	0.000	0.000	Merged-chr17-71216494-9
NR1400--MA0002.2.RUNX1	chr10	118854769	118854779	+	0.000	0.000	Merged-chr10-118854630-50
NR2383--MA0684.1.RUNX3	chr12	116000042	116000051	+	0.000	0.000	Merged-chr12-116000112-33
NR4186--MA0002.2.RUNX1	chr17	23797593	23797603	-	0.000	0.000	Merged-chr17-23797661-48
NR5316--MA0684.1.RUNX3	chr2	48249784	48249793	+	0.000	0.000	Merged-chr2-48249744-17
NR6964--MA0511.2.RUNX2	chr4	116053543	116053551	-	0.000	0.000	Merged-chr4-116053495-96
NR1307--MA0511.2.RUNX2	chr10	98776540	98776548	+	0.000	0.000	Merged-chr10-98776574-38
NR8545--MA0002.2.RUNX1	chr7	19404180	19404190	+	0.000	0.000	Merged-chr7-19404013-49
NR1923--MA0002.2.RUNX1	chr11	121475785	121475795	+	0.000	0.000	Merged-chr11-121475688-49
NR7519--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR7327--MA0511.2.RUNX2	chr5	35166062	35166070	-	0.000	0.000	Merged-chr5-35166204-55
NR5376--MA0511.2.RUNX2	chr2	60845519	60845527	-	0.000	0.000	Merged-chr2-60845573-40
NR4295--MA0002.2.RUNX1	chr17	47943291	47943301	+	0.000	0.000	Merged-chr17-47943297-31
NR8802--MA0684.1.RUNX3	chr7	98090400	98090409	+	0.000	0.000	Merged-chr7-98090470-13
NR8383--MA0002.2.RUNX1	chr6	133206197	133206207	+	0.000	0.000	Merged-chr6-133206224-36
NR8449--MA0002.2.RUNX1	chr6	143751326	143751336	+	0.000	0.000	Merged-chr6-143751233-79
NR4218--MA0002.2.RUNX1	chr17	29304535	29304545	-	0.000	0.000	Merged-chr17-29304449-24
NR6454--MA0511.2.RUNX2	chr3	142281331	142281339	+	0.000	0.000	Merged-chr3-142281213-32
NR4774--MA0511.2.RUNX2	chr18	70544482	70544490	+	0.000	0.000	Merged-chr18-70544560-36
NR827--MA0684.1.RUNX3	chr1	192062561	192062570	+	0.000	0.000	Merged-chr1-192062779-52
NR4823--MA0684.1.RUNX3	chr18	79079911	79079920	+	0.000	0.000	Merged-chr18-79080001-30
NR8558--MA0002.2.RUNX1	chr7	25155920	25155930	-	0.000	0.000	Merged-chr7-25155994-40
NR4204--MA0684.1.RUNX3	chr17	27997540	27997549	+	0.000	0.000	Merged-chr17-27997387-33
NR5408--MA0511.2.RUNX2	chr2	69003007	69003015	-	0.000	0.000	Merged-chr2-69003152-17
NR4056--MA0002.2.RUNX1	chr16	91917803	91917813	+	0.000	0.000	Merged-chr16-91917917-41
NR3950--MA0684.1.RUNX3	chr16	58694217	58694226	-	0.000	0.000	Merged-chr16-58694307-32
NR7069--MA0511.2.RUNX2	chr4	134853870	134853878	+	0.000	0.000	Merged-chr4-134853664-104
NR4456--MA0684.1.RUNX3	chr17	84226583	84226592	-	0.000	0.000	Merged-chr17-84226544-42
NR5--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR268--MA0511.2.RUNX2	chr1	80637505	80637513	-	0.000	0.000	Merged-chr1-80637446-57
NR8273--MA0684.1.RUNX3	chr6	120466810	120466819	-	0.000	0.000	Merged-chr6-120466879-54
NR5610--MA0002.2.RUNX1	chr2	126467941	126467951	-	0.000	0.000	Merged-chr2-126467944-38
NR2855--MA0511.2.RUNX2	chr13	107095622	107095630	+	0.000	0.000	Merged-chr13-107095527-25
NR4313--MA0684.1.RUNX3	chr17	50416226	50416235	+	0.000	0.000	Merged-chr17-50416293-2
NR1774--MA0002.2.RUNX1	chr11	97434943	97434953	+	0.000	0.000	Merged-chr11-97435107-48
NR8081--MA0511.2.RUNX2	chr6	86548167	86548175	-	0.000	0.000	Merged-chr6-86548021-53
NR8796--MA0684.1.RUNX3	chr7	97748279	97748288	+	0.000	0.000	Merged-chr7-97748330-11
NR4688--MA0002.2.RUNX1	chr18	56459018	56459028	-	0.000	0.000	Merged-chr18-56459089-42
NR919--MA0511.2.RUNX2	chr10	18917547	18917555	+	0.000	0.000	Merged-chr10-18917466-61
NR8776--MA0002.2.RUNX1	chr7	90138313	90138323	+	0.000	0.000	Merged-chr7-90138521-54
NR549--MA0002.2.RUNX1	chr1	151245253	151245263	+	0.000	0.000	Merged-chr1-151245323-7
NR8732--MA0511.2.RUNX2	chr7	80450004	80450012	+	0.000	0.000	Merged-chr7-80450087-44
NR505--MA0511.2.RUNX2	chr1	138560882	138560890	+	0.000	0.000	Merged-chr1-138560961-36
NR7922--MA0002.2.RUNX1	chr6	41554461	41554471	+	0.000	0.000	Merged-chr6-41554402-95
NR9238--MA0511.2.RUNX2	chr8	57638075	57638083	-	0.000	0.000	Merged-chr8-57637972-56
NR7558--MA0511.2.RUNX2	chr5	105642691	105642699	-	0.000	0.000	Merged-chr5-105642805-64
NR9016--MA0684.1.RUNX3	chr7	132749006	132749015	+	0.000	0.000	Merged-chr7-132748920-16
NR4131--MA0002.2.RUNX1	chr17	7931639	7931649	+	0.000	0.000	Merged-chr17-7931540-55
NR8984--MA0511.2.RUNX2	chr7	128158951	128158959	-	0.000	0.000	Merged-chr7-128158931-27
NR6704--MA0511.2.RUNX2	chr4	41307579	41307587	-	0.000	0.000	Merged-chr4-41307588-21
NR4326--MA0684.1.RUNX3	chr17	52125414	52125423	-	0.000	0.000	Merged-chr17-52125389-32
NR9440--MA0002.2.RUNX1	chr8	121573550	121573560	+	0.000	0.000	Merged-chr8-121573521-19
NR6685--MA0511.2.RUNX2	chr4	34881095	34881103	+	0.000	0.000	Merged-chr4-34881201-30
NR3086--MA0684.1.RUNX3	chr14	55392567	55392576	-	0.000	0.000	Merged-chr14-55392653-26
NR787--MA0684.1.RUNX3	chr1	187228920	187228929	-	0.000	0.000	Merged-chr1-187228770-56
NR8808--MA0002.2.RUNX1	chr7	98809877	98809887	+	0.000	0.000	Merged-chr7-98809754-32
NR1915--MA0002.2.RUNX1	chr11	120729876	120729886	-	0.000	0.000	Merged-chr11-120729772-16
NR6271--MA0511.2.RUNX2	chr3	106996465	106996473	+	0.000	0.000	Merged-chr3-106996369-21
NR2355--MA0002.2.RUNX1	chr12	115003321	115003331	-	0.000	0.000	Merged-chr12-115003436-23
NR2626--MA0002.2.RUNX1	chr13	55641101	55641111	-	0.000	0.000	Merged-chr13-55640933-22
NR9599--MA0511.2.RUNX2	chr9	43096539	43096547	+	0.000	0.000	Merged-chr9-43096353-58
NR6986--MA0684.1.RUNX3	chr4	119897309	119897318	-	0.000	0.000	Merged-chr4-119897419-50
NR2484--MA0684.1.RUNX3	chr13	23531168	23531177	+	0.000	0.000	Merged-chr13-23531231-137
NR2878--MA0002.2.RUNX1	chr13	109922429	109922439	+	0.000	0.000	Merged-chr13-109922319-36
NR6843--MA0684.1.RUNX3	chr4	88115656	88115665	-	0.000	0.000	Merged-chr4-88115597-29
NR10058--MA0684.1.RUNX3	chrX	7618418	7618427	+	0.000	0.000	Merged-chrX-7618327-48
NR6909--MA0684.1.RUNX3	chr4	102629842	102629851	-	0.000	0.000	Merged-chr4-102629885-23
NR1753--MA0002.2.RUNX1	chr11	90264333	90264343	+	0.000	0.000	Merged-chr11-90264264-53
NR4415--MA0002.2.RUNX1	chr17	73952311	73952321	-	0.000	0.000	Merged-chr17-73952254-58
NR10137--MA0511.2.RUNX2	chrX	71492680	71492688	+	0.000	0.000	Merged-chrX-71492883-59
NR8232--MA0002.2.RUNX1	chr6	114893967	114893977	-	0.000	0.000	Merged-chr6-114894029-89
NR6618--MA0002.2.RUNX1	chr4	7912803	7912813	-	0.000	0.000	Merged-chr4-7913015-48
NR8854--MA0511.2.RUNX2	chr7	107707906	107707914	-	0.000	0.000	Merged-chr7-107707960-19
NR4081--MA0511.2.RUNX2	chr16	95985000	95985008	-	0.000	0.000	Merged-chr16-95985074-35
NR2196--MA0511.2.RUNX2	chr12	91765685	91765693	+	0.000	0.000	Merged-chr12-91765630-19
NR2467--MA0511.2.RUNX2	chr13	21160944	21160952	+	0.000	0.000	Merged-chr13-21161115-55
NR8235--MA0511.2.RUNX2	chr6	115594677	115594685	+	0.000	0.000	Merged-chr6-115594731-47
NR4048--MA0002.2.RUNX1	chr16	90995116	90995126	-	0.000	0.000	Merged-chr16-90995039-12
NR7901--MA0002.2.RUNX1	chr6	37448149	37448159	+	0.000	0.000	Merged-chr6-37448067-27
NR1991--MA0684.1.RUNX3	chr12	25240277	25240286	+	0.000	0.000	Merged-chr12-25240283-42
NR8341--MA0002.2.RUNX1	chr6	129210617	129210627	+	0.000	0.000	Merged-chr6-129210550-50
NR6604--MA0684.1.RUNX3	chr4	3648960	3648969	+	0.000	0.000	Merged-chr4-3649100-36
NR2324--MA0511.2.RUNX2	chr12	111442587	111442595	-	0.000	0.000	Merged-chr12-111442481-10
NR6185--MA0002.2.RUNX1	chr3	93562573	93562583	-	0.000	0.000	Merged-chr3-93562558-40
NR6456--MA0002.2.RUNX1	chr3	142281338	142281348	-	0.000	0.000	Merged-chr3-142281213-32
NR6727--MA0002.2.RUNX1	chr4	46618589	46618599	-	0.000	0.000	Merged-chr4-46618486-40
NR7882--MA0002.2.RUNX1	chr6	22424382	22424392	+	0.000	0.000	Merged-chr6-22424289-78
NR5159--MA0684.1.RUNX3	chr2	3756051	3756060	-	0.000	0.000	Merged-chr2-3756075-14
NR4190--MA0511.2.RUNX2	chr17	24687236	24687244	-	0.000	0.000	Merged-chr17-24687301-48
NR4527--MA0511.2.RUNX2	chr18	10742980	10742988	-	0.000	0.000	Merged-chr18-10742937-26
NR3651--MA0002.2.RUNX1	chr15	93302036	93302046	+	0.000	0.000	Merged-chr15-93302109-22
NR8388--MA0002.2.RUNX1	chr6	134048226	134048236	+	0.000	0.000	Merged-chr6-134048216-52
NR1971--MA0002.2.RUNX1	chr12	17430770	17430780	+	0.000	0.000	Merged-chr12-17430799-10
NR6313--MA0002.2.RUNX1	chr3	115660798	115660808	-	0.000	0.000	Merged-chr3-115660829-1
NR6979--MA0002.2.RUNX1	chr4	119127155	119127165	+	0.000	0.000	Merged-chr4-119127359-48
NR117--MA0511.2.RUNX2	chr1	40515391	40515399	+	0.000	0.000	Merged-chr1-40515347-62
NR5016--MA0684.1.RUNX3	chr19	36083078	36083087	-	0.000	0.000	Merged-chr19-36083098-3
NR2477--MA0002.2.RUNX1	chr13	22049920	22049930	-	0.000	0.000	Merged-chr13-22049966-26
NR2162--MA0511.2.RUNX2	chr12	86310026	86310034	-	0.000	0.000	Merged-chr12-86310059-67
NR574--MA0511.2.RUNX2	chr1	155476450	155476458	-	0.000	0.000	Merged-chr1-155476472-40
NR9671--MA0002.2.RUNX1	chr9	56104307	56104317	-	0.000	0.000	Merged-chr9-56104454-58
NR2877--MA0684.1.RUNX3	chr13	109845031	109845040	-	0.000	0.000	Merged-chr13-109845162-65
NR352--MA0684.1.RUNX3	chr1	95674258	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR2605--MA0002.2.RUNX1	chr13	52793743	52793753	-	0.000	0.000	Merged-chr13-52793738-50
NR2129--MA0002.2.RUNX1	chr12	78980877	78980887	-	0.000	0.000	Merged-chr12-78980936-73
NR2734--MA0684.1.RUNX3	chr13	85430186	85430195	+	0.000	0.000	Merged-chr13-85430211-51
NR6773--MA0511.2.RUNX2	chr4	59204826	59204834	-	0.000	0.000	Merged-chr4-59204829-36
NR6280--MA0684.1.RUNX3	chr3	107761656	107761665	-	0.000	0.000	Merged-chr3-107761625-19
NR2271--MA0511.2.RUNX2	chr12	100988529	100988537	+	0.000	0.000	Merged-chr12-100988724-71
NR1289--MA0684.1.RUNX3	chr10	96015687	96015696	-	0.000	0.000	Merged-chr10-96015913-48
NR2542--MA0511.2.RUNX2	chr13	37541894	37541902	+	0.000	0.000	Merged-chr13-37541855-48
NR6075--MA0684.1.RUNX3	chr3	68789751	68789760	+	0.000	0.000	Merged-chr3-68789660-34
NR1461--MA0002.2.RUNX1	chr10	128716497	128716507	-	0.000	0.000	Merged-chr10-128716299-65
NR1732--MA0002.2.RUNX1	chr11	82214600	82214610	-	0.000	0.000	Merged-chr11-82214647-44
NR2986--MA0684.1.RUNX3	chr14	20885308	20885317	-	0.000	0.000	Merged-chr14-20885499-75
NR749--MA0511.2.RUNX2	chr1	181860901	181860909	-	0.000	0.000	Merged-chr1-181860828-54
NR10116--MA0511.2.RUNX2	chrX	52819526	52819534	+	0.000	0.000	Merged-chrX-52819571-21
NR5820--MA0002.2.RUNX1	chr2	166610381	166610391	-	0.000	0.000	Merged-chr2-166610595-30
NR1590--MA0684.1.RUNX3	chr11	46380384	46380393	+	0.000	0.000	Merged-chr11-46380322-60
NR3664--MA0002.2.RUNX1	chr15	93913639	93913649	-	0.000	0.000	Merged-chr15-93913565-49
NR8291--MA0511.2.RUNX2	chr6	122533103	122533111	+	0.000	0.000	Merged-chr6-122533116-39
