#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR7331--MA0089.1.MAFG::NFE2L1	chr19	41360612	41360617	+	0.000	0.000	Merged-chr19-41360707-21
NR8862--MA0117.2.Mafb	chr3	31061345	31061356	+	0.000	0.000	Merged-chr3-31061473-66
NR11232--MA0659.1.MAFG	chr5	111330814	111330834	+	0.000	0.000	Merged-chr5-111330756-70
NR9201--MA0089.1.MAFG::NFE2L1	chr3	94443348	94443353	-	0.000	0.000	Merged-chr3-94443589-72
NR1644--MA0089.1.MAFG::NFE2L1	chr10	67727766	67727771	+	0.000	0.000	Merged-chr10-67727735-22
NR4113--MA0591.1.Bach1::Mafk	chr13	104607048	104607062	-	0.000	0.000	Merged-chr13-104606951-45
NR57--MA0089.1.MAFG::NFE2L1	chr1	16688419	16688424	+	0.000	0.000	Merged-chr1-16688563-89
NR13808--MA0496.2.MAFK	chr8	94186725	94186743	+	0.000	0.000	Merged-chr8-94186753-31
NR12352--MA0089.1.MAFG::NFE2L1	chr6	134014731	134014736	+	0.000	0.000	Merged-chr6-134014705-25
NR1363--MA0117.2.Mafb	chr10	18064773	18064784	-	0.000	0.000	Merged-chr10-18064784-37
NR6329--MA0117.2.Mafb	chr17	36121595	36121606	-	0.000	0.000	Merged-chr17-36121498-70
NR5305--MA0591.1.Bach1::Mafk	chr15	76190366	76190380	+	0.000	0.000	Merged-chr15-76190238-30
NR14713--MA0089.1.MAFG::NFE2L1	chr9	116249915	116249920	-	0.000	0.000	Merged-chr9-116250022-24
NR14182--MA0495.2.MAFF	chr9	32704308	32704328	+	0.000	0.000	Merged-chr9-32704216-31
NR4645--MA0089.1.MAFG::NFE2L1	chr14	61440022	61440027	-	0.000	0.000	Merged-chr14-61439871-81
NR12304--MA0117.2.Mafb	chr6	129817699	129817710	+	0.000	0.000	Merged-chr6-129817846-22
NR13327--MA0591.1.Bach1::Mafk	chr7	140947203	140947217	+	0.000	0.000	Merged-chr7-140947277-49
NR4714--MA0591.1.Bach1::Mafk	chr14	71138252	71138266	-	0.000	0.000	Merged-chr14-71138006-34
NR8488--MA0089.1.MAFG::NFE2L1	chr2	152787725	152787730	-	0.000	0.000	Merged-chr2-152787799-43
NR14800--MA0089.1.MAFG::NFE2L1	chr9	123928248	123928253	+	0.000	0.000	Merged-chr9-123928219-7
NR14970--MA0495.2.MAFF	chrX	103981222	103981242	+	0.000	0.000	Merged-chrX-103981115-84
NR198--MA0591.1.Bach1::Mafk	chr1	51509240	51509254	+	0.000	0.000	Merged-chr1-51509217-43
NR3877--MA0495.2.MAFF	chr13	63431573	63431593	-	0.000	0.000	Merged-chr13-63431477-108
NR13611--MA0496.2.MAFK	chr8	71882026	71882044	-	0.000	0.000	Merged-chr8-71881954-63
NR13606--MA0591.1.Bach1::Mafk	chr8	71692808	71692822	-	0.000	0.000	Merged-chr8-71692862-61
NR1381--MA0117.2.Mafb	chr10	21029346	21029357	-	0.000	0.000	Merged-chr10-21029256-16
NR5078--MA0501.1.MAF::NFE2	chr15	27518263	27518277	-	0.000	0.000	Merged-chr15-27518308-43
NR2447--MA0495.2.MAFF	chr11	60935531	60935551	+	0.000	0.000	Merged-chr11-60935533-50
NR1368--MA0659.1.MAFG	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR2997--MA0496.2.MAFK	chr12	41044929	41044947	+	0.000	0.000	Merged-chr12-41044922-24
NR1116--MA0591.1.Bach1::Mafk	chr1	182528175	182528189	-	0.000	0.000	Merged-chr1-182528373-67
NR10091--MA0089.1.MAFG::NFE2L1	chr4	89311075	89311080	-	0.000	0.000	Merged-chr4-89310885-77
NR10393--MA0117.2.Mafb	chr4	132946080	132946091	+	0.000	0.000	Merged-chr4-132946023-135
NR1844--MA0089.1.MAFG::NFE2L1	chr10	93124500	93124505	-	0.000	0.000	Merged-chr10-93124386-49
NR12434--MA0117.2.Mafb	chr6	142785389	142785400	-	0.000	0.000	Merged-chr6-142785520-28
NR2826--MA0501.1.MAF::NFE2	chr11	119991489	119991503	+	0.000	0.000	Merged-chr11-119991452-27
NR7457--MA0089.1.MAFG::NFE2L1	chr2	3769450	3769455	-	0.000	0.000	Merged-chr2-3769538-15
NR5049--MA0591.1.Bach1::Mafk	chr15	10723728	10723742	+	0.000	0.000	Merged-chr15-10723648-41
NR4758--MA0089.1.MAFG::NFE2L1	chr14	75131285	75131290	+	0.000	0.000	Merged-chr14-75131133-67
NR3338--MA0089.1.MAFG::NFE2L1	chr12	105001141	105001146	+	0.000	0.000	Merged-chr12-105001185-43
NR3714--MA0089.1.MAFG::NFE2L1	chr13	41345852	41345857	+	0.000	0.000	Merged-chr13-41345949-16
NR10485--MA0501.1.MAF::NFE2	chr4	145209530	145209544	+	0.000	0.000	Merged-chr4-145209474-14
NR3308--MA0591.1.Bach1::Mafk	chr12	102725894	102725908	+	0.000	0.000	Merged-chr12-102725794-51
NR2310--MA0591.1.Bach1::Mafk	chr11	43174587	43174601	+	0.000	0.000	Merged-chr11-43174624-53
NR10389--MA0501.1.MAF::NFE2	chr4	130902725	130902739	+	0.000	0.000	Merged-chr4-130902724-33
NR6286--MA0591.1.Bach1::Mafk	chr17	32891345	32891359	+	0.000	0.000	Merged-chr17-32891413-48
NR2632--MA0591.1.Bach1::Mafk	chr11	94275923	94275937	+	0.000	0.000	Merged-chr11-94275707-70
NR6130--MA0496.2.MAFK	chr17	5802393	5802411	+	0.000	0.000	Merged-chr17-5802429-65
NR1370--MA0496.2.MAFK	chr10	19104810	19104828	+	0.000	0.000	Merged-chr10-19104955-55
NR3310--MA0089.1.MAFG::NFE2L1	chr12	102743674	102743679	-	0.000	0.000	Merged-chr12-102743719-52
NR3409--MA0117.2.Mafb	chr12	112674891	112674902	-	0.000	0.000	Merged-chr12-112674699-146
NR2715--MA0501.1.MAF::NFE2	chr11	104622753	104622767	-	0.000	0.000	Merged-chr11-104622687-63
NR2219--MA0495.2.MAFF	chr11	20107921	20107941	-	0.000	0.000	Merged-chr11-20107877-60
NR7455--MA0117.2.Mafb	chr2	3753940	3753951	+	0.000	0.000	Merged-chr2-3753899-45
NR3396--MA0591.1.Bach1::Mafk	chr12	111538237	111538251	+	0.000	0.000	Merged-chr12-111538351-99
NR7156--MA0591.1.Bach1::Mafk	chr19	5802600	5802614	-	0.000	0.000	Merged-chr19-5802452-32
NR7644--MA0089.1.MAFG::NFE2L1	chr2	38536477	38536482	+	0.000	0.000	Merged-chr2-38536477-82
NR4065--MA0089.1.MAFG::NFE2L1	chr13	100201819	100201824	-	0.000	0.000	Merged-chr13-100202015-43
NR13202--MA0659.1.MAFG	chr7	127573108	127573128	+	0.000	0.000	Merged-chr7-127573236-53
NR11891--MA0591.1.Bach1::Mafk	chr6	81940100	81940114	+	0.000	0.000	Merged-chr6-81939929-17
NR4716--MA0496.2.MAFK	chr14	71138226	71138244	+	0.000	0.000	Merged-chr14-71138006-34
NR2443--MA0501.1.MAF::NFE2	chr11	60353048	60353062	-	0.000	0.000	Merged-chr11-60353018-61
NR4656--MA0089.1.MAFG::NFE2L1	chr14	63130836	63130841	-	0.000	0.000	Merged-chr14-63130838-17
NR344--MA0496.2.MAFK	chr1	74398275	74398293	+	0.000	0.000	Merged-chr1-74398237-10
NR2449--MA0117.2.Mafb	chr11	60935540	60935551	-	0.000	0.000	Merged-chr11-60935533-50
NR6311--MA0089.1.MAFG::NFE2L1	chr17	35258391	35258396	+	0.000	0.000	Merged-chr17-35258304-47
NR11183--MA0591.1.Bach1::Mafk	chr5	105732342	105732356	+	0.000	0.000	Merged-chr5-105732037-124
NR6061--MA0659.1.MAFG	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR6200--MA0591.1.Bach1::Mafk	chr17	21962761	21962775	+	0.000	0.000	Merged-chr17-21962669-83
NR1912--MA0496.2.MAFK	chr10	99221679	99221697	-	0.000	0.000	Merged-chr10-99221651-27
NR13980--MA0501.1.MAF::NFE2	chr8	120563928	120563942	+	0.000	0.000	Merged-chr8-120564046-29
NR6822--MA0117.2.Mafb	chr18	50016872	50016883	+	0.000	0.000	Merged-chr18-50017066-69
NR12976--MA0591.1.Bach1::Mafk	chr7	101538239	101538253	-	0.000	0.000	Merged-chr7-101538203-73
NR2280--MA0089.1.MAFG::NFE2L1	chr11	32542918	32542923	-	0.000	0.000	Merged-chr11-32542755-79
NR7485--MA0495.2.MAFF	chr2	11497008	11497028	-	0.000	0.000	Merged-chr2-11496832-15
NR7468--MA0089.1.MAFG::NFE2L1	chr2	6396238	6396243	+	0.000	0.000	Merged-chr2-6396232-31
NR4641--MA0089.1.MAFG::NFE2L1	chr14	60727282	60727287	+	0.000	0.000	Merged-chr14-60727314-32
NR13999--MA0117.2.Mafb	chr8	124242452	124242463	-	0.000	0.000	Merged-chr8-124242348-54
NR2485--MA0117.2.Mafb	chr11	67563354	67563365	+	0.000	0.000	Merged-chr11-67563339-33
NR5054--MA0496.2.MAFK	chr15	10723726	10723744	-	0.000	0.000	Merged-chr15-10723648-41
NR10780--MA0089.1.MAFG::NFE2L1	chr5	34761724	34761729	+	0.000	0.000	Merged-chr5-34761763-63
NR2913--MA0501.1.MAF::NFE2	chr12	26206991	26207005	+	0.000	0.000	Merged-chr12-26206991-18
NR1910--MA0501.1.MAF::NFE2	chr10	99221678	99221692	-	0.000	0.000	Merged-chr10-99221651-27
NR6941--MA0501.1.MAF::NFE2	chr18	67290660	67290674	-	0.000	0.000	Merged-chr18-67290612-3
NR14089--MA0495.2.MAFF	chr9	7776014	7776034	+	0.000	0.000	Merged-chr9-7776145-26
NR5650--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR7487--MA0659.1.MAFG	chr2	11497008	11497028	+	0.000	0.000	Merged-chr2-11496832-15
NR10092--MA0495.2.MAFF	chr4	89351107	89351127	+	0.000	0.000	Merged-chr4-89351221-94
NR5306--MA0089.1.MAFG::NFE2L1	chr15	76199519	76199524	+	0.000	0.000	Merged-chr15-76199609-68
NR970--MA0089.1.MAFG::NFE2L1	chr1	165790053	165790058	-	0.000	0.000	Merged-chr1-165789768-126
NR6031--MA0591.1.Bach1::Mafk	chr16	92944070	92944084	+	0.000	0.000	Merged-chr16-92944045-14
NR15035--MA0496.2.MAFK	chrX	142385192	142385210	-	0.000	0.000	Merged-chrX-142385026-32
NR4759--MA0117.2.Mafb	chr14	75175422	75175433	-	0.000	0.000	Merged-chr14-75175322-22
NR10718--MA0089.1.MAFG::NFE2L1	chr5	21254967	21254972	-	0.000	0.000	Merged-chr5-21254890-25
NR7857--MA0089.1.MAFG::NFE2L1	chr2	73547503	73547508	+	0.000	0.000	Merged-chr2-73547425-29
NR9021--MA0089.1.MAFG::NFE2L1	chr3	65922855	65922860	-	0.000	0.000	Merged-chr3-65922755-41
NR8984--MA0501.1.MAF::NFE2	chr3	60469319	60469333	+	0.000	0.000	Merged-chr3-60469129-75
NR706--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR2550--MA0591.1.Bach1::Mafk	chr11	77484090	77484104	+	0.000	0.000	Merged-chr11-77483872-51
NR11485--MA0591.1.Bach1::Mafk	chr6	3345466	3345480	+	0.000	0.000	Merged-chr6-3345422-65
NR5608--MA0089.1.MAFG::NFE2L1	chr16	30067017	30067022	+	0.000	0.000	Merged-chr16-30066931-47
NR290--MA0089.1.MAFG::NFE2L1	chr1	69703674	69703679	-	0.000	0.000	Merged-chr1-69703794-17
NR2595--MA0496.2.MAFK	chr11	86618708	86618726	-	0.000	0.000	Merged-chr11-86618782-14
NR13604--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR7668--MA0089.1.MAFG::NFE2L1	chr2	45017352	45017357	+	0.000	0.000	Merged-chr2-45017480-33
NR2001--MA0089.1.MAFG::NFE2L1	chr10	118083134	118083139	+	0.000	0.000	Merged-chr10-118083304-59
NR13616--MA0501.1.MAF::NFE2	chr8	72285427	72285441	-	0.000	0.000	Merged-chr8-72285397-19
NR6711--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR7165--MA0659.1.MAFG	chr19	6976275	6976295	+	0.000	0.000	Merged-chr19-6976214-1
NR176--MA0501.1.MAF::NFE2	chr1	43224401	43224415	-	0.000	0.000	Merged-chr1-43224405-37
NR794--MA0089.1.MAFG::NFE2L1	chr1	144086355	144086360	-	0.000	0.000	Merged-chr1-144086303-34
NR14508--MA0501.1.MAF::NFE2	chr9	90234038	90234052	+	0.000	0.000	Merged-chr9-90234090-24
NR4477--MA0501.1.MAF::NFE2	chr14	36962626	36962640	-	0.000	0.000	Merged-chr14-36962609-55
NR8280--MA0089.1.MAFG::NFE2L1	chr2	128380833	128380838	+	0.000	0.000	Merged-chr2-128380717-35
NR3378--MA0501.1.MAF::NFE2	chr12	108613427	108613441	-	0.000	0.000	Merged-chr12-108613293-25
NR12721--MA0591.1.Bach1::Mafk	chr7	51756411	51756425	-	0.000	0.000	Merged-chr7-51756471-16
NR11403--MA0501.1.MAF::NFE2	chr5	142629599	142629613	+	0.000	0.000	Merged-chr5-142629635-77
NR1372--MA0501.1.MAF::NFE2	chr10	20104741	20104755	+	0.000	0.000	Merged-chr10-20104701-24
NR1506--MA0495.2.MAFF	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR200--MA0089.1.MAFG::NFE2L1	chr1	51509304	51509309	+	0.000	0.000	Merged-chr1-51509217-43
NR2536--MA0501.1.MAF::NFE2	chr11	75460527	75460541	-	0.000	0.000	Merged-chr11-75460430-27
NR14826--MA0591.1.Bach1::Mafk	chrX	12158927	12158941	+	0.000	0.000	Merged-chrX-12159068-128
NR2602--MA0117.2.Mafb	chr11	88011840	88011851	-	0.000	0.000	Merged-chr11-88011784-26
NR7277--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR12572--MA0591.1.Bach1::Mafk	chr7	16057373	16057387	+	0.000	0.000	Merged-chr7-16057177-61
NR7382--MA0496.2.MAFK	chr19	53800798	53800816	+	0.000	0.000	Merged-chr19-53800770-48
NR6305--MA0501.1.MAF::NFE2	chr17	35064968	35064982	-	0.000	0.000	Merged-chr17-35065202-25
NR5077--MA0591.1.Bach1::Mafk	chr15	27518266	27518280	-	0.000	0.000	Merged-chr15-27518308-43
NR6939--MA0089.1.MAFG::NFE2L1	chr18	67280591	67280596	-	0.000	0.000	Merged-chr18-67280643-55
NR5420--MA0591.1.Bach1::Mafk	chr15	96520621	96520635	-	0.000	0.000	Merged-chr15-96520737-46
NR13994--MA0089.1.MAFG::NFE2L1	chr8	123807201	123807206	+	0.000	0.000	Merged-chr8-123807206-24
NR4665--MA0089.1.MAFG::NFE2L1	chr14	64628233	64628238	+	0.000	0.000	Merged-chr14-64628307-21
NR1996--MA0659.1.MAFG	chr10	117975555	117975575	+	0.000	0.000	Merged-chr10-117975710-27
NR4426--MA0496.2.MAFK	chr14	27268382	27268400	+	0.000	0.000	Merged-chr14-27268313-23
NR2159--MA0117.2.Mafb	chr11	5099437	5099448	+	0.000	0.000	Merged-chr11-5099369-106
NR13977--MA0501.1.MAF::NFE2	chr8	120332945	120332959	-	0.000	0.000	Merged-chr8-120332869-43
NR9610--MA0089.1.MAFG::NFE2L1	chr3	145938056	145938061	-	0.000	0.000	Merged-chr3-145938164-54
NR6064--MA0496.2.MAFK	chr16	94660248	94660266	+	0.000	0.000	Merged-chr16-94660460-20
NR2937--MA0591.1.Bach1::Mafk	chr12	33160628	33160642	+	0.000	0.000	Merged-chr12-33160530-65
NR504--MA0117.2.Mafb	chr1	92627880	92627891	-	0.000	0.000	Merged-chr1-92627858-2
NR13590--MA0089.1.MAFG::NFE2L1	chr8	69920453	69920458	-	0.000	0.000	Merged-chr8-69920362-48
NR11875--MA0501.1.MAF::NFE2	chr6	72659946	72659960	+	0.000	0.000	Merged-chr6-72660096-30
NR13806--MA0591.1.Bach1::Mafk	chr8	94186727	94186741	+	0.000	0.000	Merged-chr8-94186753-31
NR8975--MA0501.1.MAF::NFE2	chr3	59296666	59296680	-	0.000	0.000	Merged-chr3-59296543-72
NR10412--MA0089.1.MAFG::NFE2L1	chr4	134128831	134128836	+	0.000	0.000	Merged-chr4-134128895-71
NR2229--MA0591.1.Bach1::Mafk	chr11	20477618	20477632	+	0.000	0.000	Merged-chr11-20477652-51
NR6993--MA0117.2.Mafb	chr18	73452488	73452499	+	0.000	0.000	Merged-chr18-73452682-34
NR9289--MA0591.1.Bach1::Mafk	chr3	105892542	105892556	+	0.000	0.000	Merged-chr3-105892493-111
NR7154--MA0496.2.MAFK	chr19	5529594	5529612	-	0.000	0.000	Merged-chr19-5529616-39
NR13270--MA0117.2.Mafb	chr7	135605460	135605471	-	0.000	0.000	Merged-chr7-135605308-40
NR13866--MA0501.1.MAF::NFE2	chr8	105827422	105827436	-	0.000	0.000	Merged-chr8-105827361-75
NR9271--MA0501.1.MAF::NFE2	chr3	103386721	103386735	+	0.000	0.000	Merged-chr3-103386678-46
NR13979--MA0591.1.Bach1::Mafk	chr8	120563925	120563939	+	0.000	0.000	Merged-chr8-120564046-29
NR4999--MA0501.1.MAF::NFE2	chr14	121903491	121903505	+	0.000	0.000	Merged-chr14-121903586-22
NR12507--MA0591.1.Bach1::Mafk	chr6	146516330	146516344	-	0.000	0.000	Merged-chr6-146516138-30
NR2553--MA0591.1.Bach1::Mafk	chr11	79132271	79132285	+	0.000	0.000	Merged-chr11-79132078-52
NR4048--MA0501.1.MAF::NFE2	chr13	96510790	96510804	+	0.000	0.000	Merged-chr13-96510915-80
NR7942--MA0496.2.MAFK	chr2	84059440	84059458	-	0.000	0.000	Merged-chr2-84059493-47
NR6924--MA0089.1.MAFG::NFE2L1	chr18	65395640	65395645	+	0.000	0.000	Merged-chr18-65395765-31
NR2830--MA0501.1.MAF::NFE2	chr11	120800013	120800027	-	0.000	0.000	Merged-chr11-120800256-20
NR516--MA0495.2.MAFF	chr1	94497025	94497045	-	0.000	0.000	Merged-chr1-94497080-23
NR2824--MA0496.2.MAFK	chr11	119929852	119929870	+	0.000	0.000	Merged-chr11-119929820-6
NR5102--MA0117.2.Mafb	chr15	34389262	34389273	+	0.000	0.000	Merged-chr15-34389092-27
NR13981--MA0591.1.Bach1::Mafk	chr8	120702288	120702302	-	0.000	0.000	Merged-chr8-120702084-56
NR8418--MA0591.1.Bach1::Mafk	chr2	146062481	146062495	-	0.000	0.000	Merged-chr2-146062523-26
NR13755--MA0501.1.MAF::NFE2	chr8	88151167	88151181	-	0.000	0.000	Merged-chr8-88151137-23
NR4597--MA0495.2.MAFF	chr14	54168970	54168990	-	0.000	0.000	Merged-chr14-54168999-35
NR11621--MA0496.2.MAFK	chr6	29827424	29827442	+	0.000	0.000	Merged-chr6-29827502-39
NR8269--MA0591.1.Bach1::Mafk	chr2	127324683	127324697	+	0.000	0.000	Merged-chr2-127324548-41
NR892--MA0495.2.MAFF	chr1	156464432	156464452	+	0.000	0.000	Merged-chr1-156464548-8
NR14153--MA0089.1.MAFG::NFE2L1	chr9	22085404	22085409	-	0.000	0.000	Merged-chr9-22085425-60
NR1386--MA0089.1.MAFG::NFE2L1	chr10	21245139	21245144	-	0.000	0.000	Merged-chr10-21245318-22
NR14743--MA0501.1.MAF::NFE2	chr9	117910891	117910905	-	0.000	0.000	Merged-chr9-117910970-21
NR11402--MA0591.1.Bach1::Mafk	chr5	142629596	142629610	+	0.000	0.000	Merged-chr5-142629635-77
NR5208--MA0495.2.MAFF	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR13107--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR2818--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR12852--MA0117.2.Mafb	chr7	80269714	80269725	+	0.000	0.000	Merged-chr7-80269676-53
NR9820--MA0659.1.MAFG	chr4	24569373	24569393	-	0.000	0.000	Merged-chr4-24569297-30
NR2737--MA0117.2.Mafb	chr11	107407779	107407790	-	0.000	0.000	Merged-chr11-107407910-19
NR2640--MA0591.1.Bach1::Mafk	chr11	94992055	94992069	-	0.000	0.000	Merged-chr11-94991977-26
NR2725--MA0591.1.Bach1::Mafk	chr11	106416597	106416611	-	0.000	0.000	Merged-chr11-106416403-62
NR11252--MA0089.1.MAFG::NFE2L1	chr5	114773548	114773553	-	0.000	0.000	Merged-chr5-114773401-70
NR4790--MA0591.1.Bach1::Mafk	chr14	79426541	79426555	+	0.000	0.000	Merged-chr14-79426592-49
NR5226--MA0495.2.MAFF	chr15	61539014	61539034	+	0.000	0.000	Merged-chr15-61539170-27
NR10538--MA0089.1.MAFG::NFE2L1	chr4	147904931	147904936	-	0.000	0.000	Merged-chr4-147904845-69
NR12268--MA0496.2.MAFK	chr6	127302957	127302975	-	0.000	0.000	Merged-chr6-127302896-25
NR1317--MA0501.1.MAF::NFE2	chr10	10224979	10224993	+	0.000	0.000	Merged-chr10-10224805-34
NR6573--MA0591.1.Bach1::Mafk	chr17	83732265	83732279	-	0.000	0.000	Merged-chr17-83732480-77
NR10399--MA0501.1.MAF::NFE2	chr4	132976613	132976627	-	0.000	0.000	Merged-chr4-132976882-43
NR10332--MA0501.1.MAF::NFE2	chr4	122872095	122872109	+	0.000	0.000	Merged-chr4-122872187-66
NR14238--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR5324--MA0496.2.MAFK	chr15	77970841	77970859	-	0.000	0.000	Merged-chr15-77970844-78
NR11178--MA0089.1.MAFG::NFE2L1	chr5	105511751	105511756	+	0.000	0.000	Merged-chr5-105511925-6
NR6496--MA0501.1.MAF::NFE2	chr17	71192185	71192199	-	0.000	0.000	Merged-chr17-71192022-46
NR2401--MA0501.1.MAF::NFE2	chr11	53803662	53803676	+	0.000	0.000	Merged-chr11-53803686-61
NR2601--MA0089.1.MAFG::NFE2L1	chr11	88011852	88011857	+	0.000	0.000	Merged-chr11-88011784-26
NR73--MA0089.1.MAFG::NFE2L1	chr1	21618845	21618850	-	0.000	0.000	Merged-chr1-21618952-34
NR13048--MA0089.1.MAFG::NFE2L1	chr7	110965579	110965584	-	0.000	0.000	Merged-chr7-110965629-28
NR14694--MA0496.2.MAFK	chr9	114787912	114787930	-	0.000	0.000	Merged-chr9-114787935-34
NR5234--MA0501.1.MAF::NFE2	chr15	62145428	62145442	-	0.000	0.000	Merged-chr15-62145292-46
NR11320--MA0501.1.MAF::NFE2	chr5	128981610	128981624	-	0.000	0.000	Merged-chr5-128981776-29
NR8765--MA0591.1.Bach1::Mafk	chr2	181601378	181601392	-	0.000	0.000	Merged-chr2-181601291-52
NR12508--MA0659.1.MAFG	chr6	146516327	146516347	+	0.000	0.000	Merged-chr6-146516138-30
NR14064--MA0089.1.MAFG::NFE2L1	chr8	128363438	128363443	-	0.000	0.000	Merged-chr8-128363423-35
NR1673--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR8847--MA0659.1.MAFG	chr3	28236949	28236969	+	0.000	0.000	Merged-chr3-28236857-20
NR3384--MA0591.1.Bach1::Mafk	chr12	110506249	110506263	+	0.000	0.000	Merged-chr12-110506270-12
NR2614--MA0089.1.MAFG::NFE2L1	chr11	90387865	90387870	+	0.000	0.000	Merged-chr11-90387734-29
NR4587--MA0089.1.MAFG::NFE2L1	chr14	51386090	51386095	-	0.000	0.000	Merged-chr14-51385941-36
NR436--MA0495.2.MAFF	chr1	85953685	85953705	-	0.000	0.000	Merged-chr1-85953523-25
NR10234--MA0117.2.Mafb	chr4	109102764	109102775	-	0.000	0.000	Merged-chr4-109102857-48
NR12872--MA0089.1.MAFG::NFE2L1	chr7	81789498	81789503	-	0.000	0.000	Merged-chr7-81789360-69
NR2670--MA0117.2.Mafb	chr11	98513118	98513129	+	0.000	0.000	Merged-chr11-98513180-30
NR2471--MA0591.1.Bach1::Mafk	chr11	62822167	62822181	+	0.000	0.000	Merged-chr11-62822095-14
NR2829--MA0089.1.MAFG::NFE2L1	chr11	120776302	120776307	+	0.000	0.000	Merged-chr11-120776291-32
NR511--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR1240--MA0117.2.Mafb	chr1	191780548	191780559	+	0.000	0.000	Merged-chr1-191780513-20
NR14742--MA0089.1.MAFG::NFE2L1	chr9	117910880	117910885	+	0.000	0.000	Merged-chr9-117910970-21
NR7542--MA0117.2.Mafb	chr2	18872888	18872899	-	0.000	0.000	Merged-chr2-18873017-31
NR14392--MA0117.2.Mafb	chr9	72678832	72678843	+	0.000	0.000	Merged-chr9-72678882-22
NR2938--MA0501.1.MAF::NFE2	chr12	33160631	33160645	+	0.000	0.000	Merged-chr12-33160530-65
NR7982--MA0591.1.Bach1::Mafk	chr2	91187683	91187697	-	0.000	0.000	Merged-chr2-91187616-14
NR11378--MA0089.1.MAFG::NFE2L1	chr5	139303792	139303797	+	0.000	0.000	Merged-chr5-139303910-62
NR4076--MA0501.1.MAF::NFE2	chr13	101632992	101633006	+	0.000	0.000	Merged-chr13-101632965-14
NR5124--MA0089.1.MAFG::NFE2L1	chr15	38470601	38470606	+	0.000	0.000	Merged-chr15-38470739-79
NR10772--MA0591.1.Bach1::Mafk	chr5	31576934	31576948	-	0.000	0.000	Merged-chr5-31576784-60
NR10597--MA0659.1.MAFG	chr4	155126870	155126890	+	0.000	0.000	Merged-chr4-155126874-51
NR10111--MA0496.2.MAFK	chr4	94476967	94476985	-	0.000	0.000	Merged-chr4-94477144-23
NR1800--MA0659.1.MAFG	chr10	86727747	86727767	+	0.000	0.000	Merged-chr10-86727830-49
NR5339--MA0089.1.MAFG::NFE2L1	chr15	80735480	80735485	-	0.000	0.000	Merged-chr15-80735548-45
NR2364--MA0591.1.Bach1::Mafk	chr11	50433087	50433101	+	0.000	0.000	Merged-chr11-50433184-24
NR10758--MA0501.1.MAF::NFE2	chr5	29920412	29920426	-	0.000	0.000	Merged-chr5-29920570-23
NR8937--MA0591.1.Bach1::Mafk	chr3	52396280	52396294	-	0.000	0.000	Merged-chr3-52396424-47
NR205--MA0117.2.Mafb	chr1	52011358	52011369	+	0.000	0.000	Merged-chr1-52011364-58
NR2686--MA0591.1.Bach1::Mafk	chr11	101562442	101562456	+	0.000	0.000	Merged-chr11-101562568-31
NR10386--MA0591.1.Bach1::Mafk	chr4	130900053	130900067	-	0.000	0.000	Merged-chr4-130900085-53
NR7209--MA0089.1.MAFG::NFE2L1	chr19	16255497	16255502	+	0.000	0.000	Merged-chr19-16255427-25
NR13470--MA0591.1.Bach1::Mafk	chr8	26015313	26015327	-	0.000	0.000	Merged-chr8-26015472-62
NR767--MA0591.1.Bach1::Mafk	chr1	138931155	138931169	+	0.000	0.000	Merged-chr1-138931080-29
NR517--MA0501.1.MAF::NFE2	chr1	94497031	94497045	+	0.000	0.000	Merged-chr1-94497080-23
NR3878--MA0591.1.Bach1::Mafk	chr13	63431576	63431590	+	0.000	0.000	Merged-chr13-63431477-108
